款号,Midjourney提示词,包装提示词,Runway视频提示词
ND01-001,"Premium press-on nail design, SKU ND01-001, collection Nude Daily 日常裸感系列, 方圆 shape, 短 length, main color 酒红, secondary color 浅粉, technique 立体滴胶, detail 珍珠, 高级感 aesthetics, for 日常, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-001, primary package color 米白, visual language from Nude Daily 日常裸感系列, include hook line: '立体滴胶 finish with 珍珠, 高级感 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-001. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 日常 context, highlight 酒红 and 浅粉, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 珍珠, 高级感 vibe for 日常"
ND01-002,"Premium press-on nail design, SKU ND01-002, collection Nude Daily 日常裸感系列, 芭蕾 shape, 中 length, main color 海盐蓝, secondary color 透明, technique 镜面粉, detail 星点, 轻奢 aesthetics, for 通勤, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-002, primary package color 淡粉, visual language from Nude Daily 日常裸感系列, include hook line: '镜面粉 finish with 星点, 轻奢 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-002. Start with macro close-up of 镜面粉 detail, transition to hand movement in 通勤 context, highlight 海盐蓝 and 透明, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 星点, 轻奢 vibe for 通勤"
ND01-003,"Premium press-on nail design, SKU ND01-003, collection Nude Daily 日常裸感系列, 椭圆 shape, 短 length, main color 豆沙粉, secondary color 雾灰, technique 珍珠贴, detail 蝴蝶结, 氛围感 aesthetics, for 婚礼, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-003, primary package color 淡粉, visual language from Nude Daily 日常裸感系列, include hook line: '珍珠贴 finish with 蝴蝶结, 氛围感 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-003. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 婚礼 context, highlight 豆沙粉 and 雾灰, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 蝴蝶结, 氛围感 vibe for 婚礼"
ND01-004,"Premium press-on nail design, SKU ND01-004, collection Nude Daily 日常裸感系列, 方圆 shape, 中 length, main color 酒红, secondary color 透明, technique 贝壳片, detail 珍珠, 甜美 aesthetics, for 婚礼, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-004, primary package color 银灰, visual language from Nude Daily 日常裸感系列, include hook line: '贝壳片 finish with 珍珠, 甜美 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-004. Start with macro close-up of 贝壳片 detail, transition to hand movement in 婚礼 context, highlight 酒红 and 透明, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 珍珠, 甜美 vibe for 婚礼"
ND01-005,"Premium press-on nail design, SKU ND01-005, collection Nude Daily 日常裸感系列, 短方 shape, 中 length, main color 奶油白, secondary color 浅粉, technique 贝壳片, detail 星点, 轻奢 aesthetics, for 拍照, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-005, primary package color 淡粉, visual language from Nude Daily 日常裸感系列, include hook line: '贝壳片 finish with 星点, 轻奢 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-005. Start with macro close-up of 贝壳片 detail, transition to hand movement in 拍照 context, highlight 奶油白 and 浅粉, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 星点, 轻奢 vibe for 拍照"
ND01-006,"Premium press-on nail design, SKU ND01-006, collection Nude Daily 日常裸感系列, 短方 shape, 短 length, main color 酒红, secondary color 亮银, technique 立体滴胶, detail 水波纹, 高级感 aesthetics, for 旅行, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-006, primary package color 海盐蓝, visual language from Nude Daily 日常裸感系列, include hook line: '立体滴胶 finish with 水波纹, 高级感 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-006. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 旅行 context, highlight 酒红 and 亮银, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 水波纹, 高级感 vibe for 旅行"
ND01-007,"Premium press-on nail design, SKU ND01-007, collection Nude Daily 日常裸感系列, 杏仁 shape, 中长 length, main color 银铬, secondary color 雾灰, technique 珍珠贴, detail 爱心, 氛围感 aesthetics, for 派对, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-007, primary package color 淡粉, visual language from Nude Daily 日常裸感系列, include hook line: '珍珠贴 finish with 爱心, 氛围感 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-007. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 派对 context, highlight 银铬 and 雾灰, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 爱心, 氛围感 vibe for 派对"
ND01-008,"Premium press-on nail design, SKU ND01-008, collection Nude Daily 日常裸感系列, 椭圆 shape, 短 length, main color 酒红, secondary color 玫瑰金, technique 法式描边, detail 几何线条, 通勤 aesthetics, for 通勤, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-008, primary package color 海盐蓝, visual language from Nude Daily 日常裸感系列, include hook line: '法式描边 finish with 几何线条, 通勤 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-008. Start with macro close-up of 法式描边 detail, transition to hand movement in 通勤 context, highlight 酒红 and 玫瑰金, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 法式描边 finish with 几何线条, 通勤 vibe for 通勤"
ND01-009,"Premium press-on nail design, SKU ND01-009, collection Nude Daily 日常裸感系列, 椭圆 shape, 短 length, main color 奶油白, secondary color 香槟金, technique 贝壳片, detail 几何线条, 通勤 aesthetics, for 日常, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-009, primary package color 淡粉, visual language from Nude Daily 日常裸感系列, include hook line: '贝壳片 finish with 几何线条, 通勤 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-009. Start with macro close-up of 贝壳片 detail, transition to hand movement in 日常 context, highlight 奶油白 and 香槟金, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 几何线条, 通勤 vibe for 日常"
ND01-010,"Premium press-on nail design, SKU ND01-010, collection Nude Daily 日常裸感系列, 芭蕾 shape, 短 length, main color 薰衣草紫, secondary color 透明, technique 法式描边, detail 水波纹, 氛围感 aesthetics, for 拍照, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND01-010, primary package color 浅紫, visual language from Nude Daily 日常裸感系列, include hook line: '法式描边 finish with 水波纹, 氛围感 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND01-010. Start with macro close-up of 法式描边 detail, transition to hand movement in 拍照 context, highlight 薰衣草紫 and 透明, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 法式描边 finish with 水波纹, 氛围感 vibe for 拍照"
