款号,系列名,母版名,甲型,长度,主色,辅助色,工艺,元素,风格,场景,目标用户,包装主色,英文卖点,中文卖点,图片路径,打样状态,成本,建议售价,设计感评分,商业感评分,生产难度评分,包装匹配评分,视频表现评分,综合评分,复盘备注
ND01-001,Nude Daily 日常裸感系列,Nude Master 01,方圆,短,酒红,浅粉,立体滴胶,珍珠,高级感,日常,时尚用户,米白,"立体滴胶 finish with 珍珠, 高级感 vibe for 日常",立体滴胶工艺结合珍珠元素，呈现高级感风格，适合日常场景,images/raw/ND01-001.jpg,待出图,26.17,58.9,7.1,7.2,7.7,8.3,8.8,7.9,
ND01-002,Nude Daily 日常裸感系列,Nude Master 02,芭蕾,中,海盐蓝,透明,镜面粉,星点,轻奢,通勤,内容博主,淡粉,"镜面粉 finish with 星点, 轻奢 vibe for 通勤",镜面粉工艺结合星点元素，呈现轻奢风格，适合通勤场景,images/raw/ND01-002.jpg,待出图,18.67,47.51,9.1,6.8,6.9,7.6,7.4,8.0,
ND01-003,Nude Daily 日常裸感系列,Nude Master 03,椭圆,短,豆沙粉,雾灰,珍珠贴,蝴蝶结,氛围感,婚礼,时尚用户,淡粉,"珍珠贴 finish with 蝴蝶结, 氛围感 vibe for 婚礼",珍珠贴工艺结合蝴蝶结元素，呈现氛围感风格，适合婚礼场景,images/raw/ND01-003.jpg,待出图,25.86,86.04,6.9,7.2,6.6,6.8,7.0,7.3,
ND01-004,Nude Daily 日常裸感系列,Nude Master 04,方圆,中,酒红,透明,贝壳片,珍珠,甜美,婚礼,白领,银灰,"贝壳片 finish with 珍珠, 甜美 vibe for 婚礼",贝壳片工艺结合珍珠元素，呈现甜美风格，适合婚礼场景,images/raw/ND01-004.jpg,打样中,18.41,68.09,8.7,8.4,6.1,8.8,6.8,8.4,
ND01-005,Nude Daily 日常裸感系列,Nude Master 05,短方,中,奶油白,浅粉,贝壳片,星点,轻奢,拍照,学生,淡粉,"贝壳片 finish with 星点, 轻奢 vibe for 拍照",贝壳片工艺结合星点元素，呈现轻奢风格，适合拍照场景,images/raw/ND01-005.jpg,打样中,21.63,49.88,9.5,8.3,8.2,7.2,8.0,8.5,
ND01-006,Nude Daily 日常裸感系列,Nude Master 06,短方,短,酒红,亮银,立体滴胶,水波纹,高级感,旅行,内容博主,海盐蓝,"立体滴胶 finish with 水波纹, 高级感 vibe for 旅行",立体滴胶工艺结合水波纹元素，呈现高级感风格，适合旅行场景,images/raw/ND01-006.jpg,打样中,21.59,55.07,9.8,8.1,5.8,6.7,6.6,8.2,
ND01-007,Nude Daily 日常裸感系列,Nude Master 07,杏仁,中长,银铬,雾灰,珍珠贴,爱心,氛围感,派对,时尚用户,淡粉,"珍珠贴 finish with 爱心, 氛围感 vibe for 派对",珍珠贴工艺结合爱心元素，呈现氛围感风格，适合派对场景,images/raw/ND01-007.jpg,已确认,35.31,126.31,6.8,8.7,8.0,8.2,7.2,7.9,
ND01-008,Nude Daily 日常裸感系列,Nude Master 08,椭圆,短,酒红,玫瑰金,法式描边,几何线条,通勤,通勤,新娘,海盐蓝,"法式描边 finish with 几何线条, 通勤 vibe for 通勤",法式描边工艺结合几何线条元素，呈现通勤风格，适合通勤场景,images/raw/ND01-008.jpg,已确认,30.29,91.24,7.1,8.4,8.6,8.1,6.9,7.8,
ND01-009,Nude Daily 日常裸感系列,Nude Master 09,椭圆,短,奶油白,香槟金,贝壳片,几何线条,通勤,日常,新娘,淡粉,"贝壳片 finish with 几何线条, 通勤 vibe for 日常",贝壳片工艺结合几何线条元素，呈现通勤风格，适合日常场景,images/raw/ND01-009.jpg,可量产,17.75,45.89,8.5,6.7,8.2,9.1,9.7,8.3,
ND01-010,Nude Daily 日常裸感系列,Nude Master 10,芭蕾,短,薰衣草紫,透明,法式描边,水波纹,氛围感,拍照,时尚用户,浅紫,"法式描边 finish with 水波纹, 氛围感 vibe for 拍照",法式描边工艺结合水波纹元素，呈现氛围感风格，适合拍照场景,images/raw/ND01-010.jpg,可量产,35.14,129.54,9.1,8.6,8.1,7.8,8.6,8.7,
