品牌,产品,地区,价格带,主色,辅助色,甲型,长度,工艺,图案元素,风格定位,使用场景,包装风格,包装主色,适合人群,趋势关键词
Glamnetic,Milky French Chrome,北美,中高价,milk white,silver,杏仁形,中长,法式+镜面,极细法式边,clean girl轻奢,通勤/约会,极简礼盒,奶白,都市白领,clean girl;quiet luxury;micro french
KISS,Cherry Jelly Pop,北美,大众价,cherry red,transparent pink,方圆形,短,果冻透光,纯色跳色,Y2K甜酷,派对/日常,彩色吸塑,樱桃红,学生与年轻职场,Y2K;jelly;party nails
imPRESS,Nude Blush Aura,北美,大众价,nude,blush pink,椭圆形,短,aura晕染,柔雾渐变,简约温柔,通勤/约会,马卡龙软触盒,裸粉,新手与日常用户,aura;office look;daily nails
BTArtbox,Galaxy Cat Eye,亚洲,中价,navy,violet,棺形,长,猫眼磁吸,银河旋涡,未来感,音乐节/派对,镭射开窗盒,深蓝,内容创作者,cat eye;galaxy;festival
Static Nails,Mocha Marble Luxe,北美,中高价,mocha brown,cream,杏仁形,中长,大理石纹,石纹肌理,quiet luxury,商务/婚礼,磨砂烫金盒,摩卡棕,轻熟客群,marble;quiet luxury;wedding
Dashing Diva,Blue Porcelain,亚洲,中价,cobalt blue,white,圆形,短,手绘,青花瓷花纹,复古文艺,茶会/日常,金属铁盒,钴蓝,礼品购买人群,porcelain;vintage;gift
OPI,Mermaid Glimmer,全球,中价,aqua,iridescent,杏仁形,中长,亮片+釉感,鳞片闪片,海洋梦幻,度假/派对,海洋渐变压纹盒,海蓝,度假人群,mermaid;glimmer;vacation
Essie,Graphite Minimal,欧洲,大众价,graphite gray,silver,方形,短,金属质感,纯色极简,极简通勤,办公室/日常,单色线稿盒,石墨灰,极简偏好用户,minimal;office;metallic
Ebin New York,Bubblegum Charms,北美,入门价,bubblegum pink,white,圆形,短,3D饰件,爱心挂饰,kawaii可爱风,约会/派对,透明盖盒彩贴,泡泡糖粉,Z世代,3d charms;kawaii;dating
Chillhouse,Cloud Therapy,北美,中高价,sky blue,white,方圆形,短,喷枪云朵,云朵图案,疗愈松弛,周末/日常,纸托简约盒,天蓝,情绪价值消费群,wellness;cloud;weekend
